Time_Index,Gas,Gas turbine,Wind,Solar,Nuclear,Coal
1,1,1,0.763308138,0,1,1
2,1,1,0.750113883,0,1,1
3,1,1,0.729198684,0,1,1
4,1,1,0.694957807,0,1,1
5,1,1,0.664635076,0,1,1
6,1,1,0.652681994,0,1,1
7,1,1,0.654510032,0,1,1
8,1,1,0.656831793,0.033664686,1,1
9,1,1,0.685611835,0.269130372,1,1
10,1,1,0.710704834,0.423271241,1,1
11,1,1,0.73184699,0.405947109,1,1
12,1,1,0.753444744,0.385453311,1,1
13,1,1,0.783215495,0.415553129,1,1
14,1,1,0.810086679,0.49704918,1,1
15,1,1,0.832747843,0.510486648,1,1
16,1,1,0.843621487,0.215279193,1,1
17,1,1,0.839757786,0.00886383,1,1
18,1,1,0.848142109,0,1,1
19,1,1,0.847643654,0,1,1
20,1,1,0.840592293,0,1,1
21,1,1,0.835683266,0,1,1
22,1,1,0.815284137,0,1,1
23,1,1,0.792055638,0,1,1
24,1,1,0.776937487,0,1,1
25,1,1,0.820802607,0,1,1
26,1,1,0.789883522,0,1,1
27,1,1,0.753749588,0,1,1
28,1,1,0.711332189,0,1,1
29,1,1,0.665505007,0,1,1
30,1,1,0.624366282,0,1,1
31,1,1,0.586426221,0,1,1
32,1,1,0.539233604,0.012335571,1,1
33,1,1,0.440360849,0.111824686,1,1
34,1,1,0.305368134,0.211002772,1,1
35,1,1,0.225098663,0.228242764,1,1
36,1,1,0.191535356,0.219481193,1,1
37,1,1,0.188362075,0.192389489,1,1
38,1,1,0.224959976,0.157232283,1,1
39,1,1,0.308364926,0.117894895,1,1
40,1,1,0.44832671,0.059914694,1,1
41,1,1,0.592127681,0.005248365,1,1
42,1,1,0.686716827,0,1,1
43,1,1,0.741557399,0,1,1
44,1,1,0.789217585,0,1,1
45,1,1,0.818236909,0,1,1
46,1,1,0.833868817,0,1,1
47,1,1,0.842538233,0,1,1
48,1,1,0.835800587,0,1,1
49,1,1,0.294170387,0,1,1
50,1,1,0.268092116,0,1,1
51,1,1,0.250329322,0,1,1
52,1,1,0.242206213,0,1,1
53,1,1,0.249128385,0,1,1
54,1,1,0.263513149,0,1,1
55,1,1,0.27580273,0,1,1
56,1,1,0.282352269,0.045739849,1,1
57,1,1,0.270865607,0.20759727,1,1
58,1,1,0.23452846,0.318775797,1,1
59,1,1,0.205963703,0.377176797,1,1
60,1,1,0.18877602,0.388770769,1,1
61,1,1,0.189577132,0.397549377,1,1
62,1,1,0.209718966,0.402487708,1,1
63,1,1,0.24429384,0.369885403,1,1
64,1,1,0.312626048,0.214390889,1,1
65,1,1,0.393469348,0.037152369,1,1
66,1,1,0.435034757,0,1,1
67,1,1,0.459820986,0,1,1
68,1,1,0.469260262,0,1,1
69,1,1,0.481865898,0,1,1
70,1,1,0.4973409,0,1,1
71,1,1,0.516113785,0,1,1
72,1,1,0.530040292,0,1,1
73,1,1,0.575304016,0,1,1
74,1,1,0.538433387,0,1,1
75,1,1,0.505744956,0,1,1
76,1,1,0.453400951,0,1,1
77,1,1,0.394475254,0,1,1
78,1,1,0.355742412,0,1,1
79,1,1,0.333905566,0.001452917,1,1
80,1,1,0.311722503,0.200079796,1,1
81,1,1,0.189466138,0.651101063,1,1
82,1,1,0.142179827,0.74822013,1,1
83,1,1,0.117916566,0.675685083,1,1
84,1,1,0.117340714,0.616821134,1,1
85,1,1,0.136567815,0.61277817,1,1
86,1,1,0.147979876,0.648374548,1,1
87,1,1,0.167872246,0.65896699,1,1
88,1,1,0.207551044,0.476333433,1,1
89,1,1,0.292386399,0.11098876,1,1
90,1,1,0.372990262,0.000144117,1,1
91,1,1,0.405543747,0,1,1
92,1,1,0.404972617,0,1,1
93,1,1,0.408190218,0,1,1
94,1,1,0.413194334,0,1,1
95,1,1,0.431937618,0,1,1
96,1,1,0.468269486,0,1,1
97,1,1,0.50111864,0,1,1
98,1,1,0.4736287,0,1,1
99,1,1,0.43317298,0,1,1
100,1,1,0.424272987,0,1,1
101,1,1,0.438399476,0,1,1
102,1,1,0.44458115,0,1,1
103,1,1,0.451707499,0.001399795,1,1
104,1,1,0.440434925,0.183539988,1,1
105,1,1,0.370648474,0.61234099,1,1
106,1,1,0.311751594,0.701052494,1,1
107,1,1,0.290169735,0.650586954,1,1
108,1,1,0.285504536,0.601589045,1,1
109,1,1,0.29630291,0.616056901,1,1
110,1,1,0.316455845,0.689437198,1,1
111,1,1,0.328117524,0.756640799,1,1
112,1,1,0.356341935,0.631845047,1,1
113,1,1,0.470200676,0.177758964,1,1
114,1,1,0.560463736,0.001685588,1,1
115,1,1,0.593732373,0,1,1
116,1,1,0.586803567,0,1,1
117,1,1,0.58407097,0,1,1
118,1,1,0.572210894,0,1,1
119,1,1,0.556498695,0,1,1
120,1,1,0.551550217,0,1,1
121,1,1,0.731194959,0,1,1
122,1,1,0.698058284,0,1,1
123,1,1,0.659138789,0,1,1
124,1,1,0.640068952,0,1,1
125,1,1,0.623271317,0,1,1
126,1,1,0.61756959,0,1,1
127,1,1,0.618789137,0.012753669,1,1
128,1,1,0.589026482,0.15647012,1,1
129,1,1,0.495699599,0.329389344,1,1
130,1,1,0.457978082,0.376768429,1,1
131,1,1,0.480486844,0.349601351,1,1
132,1,1,0.533826875,0.307804327,1,1
133,1,1,0.599343798,0.263422865,1,1
